iter	Passed	Remaining
406	6487	73216
407	6503	73192
408	6517	73161
409	6532	73132
410	6547	73110
411	6562	73081
412	6576	73046
413	6592	73023
414	6607	72996
415	6622	72974
416	6636	72943
417	6651	72913
418	6665	72877
419	6680	72851
420	6694	72817
421	6709	72784
422	6724	72758
423	6738	72725
424	6753	72703
425	6772	72715
426	6786	72685
427	6801	72652
428	6815	72621
429	6830	72589
430	6844	72561
431	6860	72539
432	6882	72587
433	6897	72569
434	6912	72544
435	6928	72530
436	6944	72512
437	6959	72488
438	6974	72460
439	6989	72433
440	7003	72399
441	7018	72373
442	7032	72336
443	7047	72311
444	7061	72286
445	7076	72260
446	7091	72228
447	7105	72200
448	7120	72173
449	7135	72143
450	7149	72113
451	7164	72089
452	7179	72066
453	7194	72042
454	7210	72023
455	7225	72002
456	7240	71974
457	7254	71947
458	7270	71930
459	7285	71903
460	7299	71871
461	7314	71844
462	7328	71814
463	7343	71789
464	7358	71763
465	7372	71734
466	7388	71717
467	7403	71690
468	7418	71668
469	7432	71638
470	7447	71610
471	7462	71591
472	7476	71558
473	7491	71537
474	7505	71502
475	7520	71473
476	7535	71448
477	7549	71422
478	7564	71396
479	7578	71368
480	7593	71344
481	7608	71315
482	7623	71294
483	7637	71266
484	7652	71243
485	7667	71220
486	7682	71197
487	7697	71171
488	7712	71150
489	7727	71122
490	7741	71096
491	7756	71069
492	7772	71054
493	7788	71045
494	7804	71026
495	7820	71010
496	7834	70987
497	7853	70994
498	7872	71005
499	7887	70991
500	7903	70974
501	7920	70972
502	7936	70956
503	7951	70934
504	7967	70915
505	7982	70891
506	7996	70865
507	8011	70843
508	8027	70824
509	8042	70801
510	8056	70777
511	8071	70753
512	8087	70735
513	8102	70715
514	8118	70701
515	8133	70681
516	8149	70666
517	8165	70650
518	8180	70628
519	8195	70606
520	8211	70590
521	8226	70569
522	8241	70551
523	8256	70529
524	8272	70511
525	8287	70495
526	8303	70476
527	8318	70455
528	8333	70434
529	8348	70415
530	8364	70398
531	8380	70380
532	8394	70349
533	8408	70320
534	8423	70302
535	8439	70284
536	8453	70258
537	8469	70241
538	8484	70221
539	8499	70196
540	8513	70167
541	8527	70139
542	8541	70112
543	8556	70085
544	8571	70062
545	8586	70041
546	8600	70012
547	8614	69982
548	8629	69961
549	8644	69943
550	8659	69920
551	8674	69896
552	8688	69871
553	8704	69852
554	8719	69832
555	8734	69813
556	8749	69791
557	8764	69773
558	8779	69751
559	8795	69737
560	8813	69734
561	8833	69752
562	8851	69757
563	8871	69772
564	8887	69766
565	8903	69752
566	8920	69741
567	8935	69724
568	8950	69702
569	8965	69680
570	8979	69653
571	8994	69625
572	9008	69600
573	9022	69573
574	9036	69544
575	9051	69521
576	9065	69494
577	9080	69467
578	9094	69444
579	9108	69413
580	9124	69396
581	9138	69371
582	9152	69343
583	9167	69317
584	9181	69292
585	9196	69271
586	9211	69253
587	9227	69233
588	9241	69211
589	9256	69190
590	9271	69167
591	9285	69139
592	9299	69112
593	9314	69087
594	9328	69062
595	9343	69039
596	9357	69011
597	9372	68991
598	9387	68974
599	9402	68954
600	9416	68925
601	9431	68904
602	9445	68878
603	9461	68862
604	9476	68840
605	9491	68822
606	9506	68801
607	9521	68780
608	9535	68753
609	9550	68733
610	9565	68711
611	9580	68688
612	9595	68671
613	9610	68652
614	9626	68635
615	9641	68620
616	9657	68603
617	9671	68576
618	9687	68563
619	9702	68542
620	9718	68528
621	9733	68506
622	9747	68484
623	9762	68461
624	9778	68450
625	9796	68447
626	9814	68448
627	9837	68489
628	9874	68617
629	9901	68684
630	9922	68704
631	9940	68701
632	9958	68700
633	9974	68686
634	9992	68686
635	10009	68681
636	10025	68669
637	10043	68665
638	10062	68673
639	10078	68659
640	10093	68640
641	10111	68638
642	10128	68631
643	10146	68628
644	10164	68627
645	10182	68626
646	10197	68605
647	10212	68587
648	10228	68571
649	10243	68551
650	10257	68526
651	10272	68507
652	10287	68483
653	10301	68458
654	10316	68434
655	10331	68414
656	10346	68395
657	10361	68374
658	10376	68354
659	10391	68332
660	10406	68311
661	10421	68292
662	10436	68272
663	10452	68254
664	10468	68240
665	10483	68218
666	10498	68200
667	10513	68183
668	10529	68165
669	10544	68147
670	10559	68127
671	10574	68104
672	10589	68082
673	10603	68059
674	10619	68040
675	10633	68019
676	10648	67998
677	10664	67979
678	10685	67997
679	10736	68210
680	10768	68296
681	10788	68305
682	10810	68328
683	10836	68375
684	10863	68430
685	10882	68435
686	10899	68426
687	10914	68407
688	10933	68408
689	10950	68398
690	10965	68380
691	10981	68366
692	11000	68365
693	11014	68339
694	11030	68324
695	11046	68308
696	11061	68287
697	11076	68266
698	11091	68245
699	11106	68224
700	11121	68206
701	11136	68185
702	11152	68167
703	11168	68150
704	11184	68135
705	11199	68116
706	11215	68099
707	11230	68080
708	11247	68070
709	11262	68052
710	11280	68050
711	11296	68034
712	11312	68015
713	11328	68004
714	11344	67988
715	11363	67990
716	11382	67991
717	11401	67996
718	11418	67986
719	11438	67994
720	11457	67996
721	11476	67998
722	11495	68001
723	11510	67984
724	11526	67969
725	11543	67957
726	11559	67940
727	11575	67925
728	11592	67918
729	11608	67903
730	11627	67902
731	11644	67895
732	11659	67872
733	11674	67854
734	11690	67837
735	11705	67818
736	11721	67797
737	11736	67778
738	11751	67760
739	11770	67760
740	11792	67776
741	11809	67766
742	11827	67764
743	11847	67770
744	11868	67786
745	11885	67775
746	11900	67754
747	11918	67748
748	11934	67734
749	11950	67717
750	11967	67712
751	11985	67707
752	12004	67709
753	12020	67692
754	12034	67666
755	12048	67637
756	12064	67621
757	12080	67606
758	12097	67594
759	12111	67570
760	12127	67553
761	12143	67538
762	12159	67520
763	12174	67501
764	12190	67485
765	12204	67459
766	12219	67440
767	12235	67423
768	12251	67406
769	12266	67384
770	12282	67370
771	12296	67343
772	12311	67324
773	12326	67304
774	12341	67283
775	12356	67259
776	12371	67237
777	12386	67218
778	12401	67198
779	12416	67177
780	12432	67159
781	12447	67137
782	12462	67121
783	12478	67102
784	12495	67094
785	12512	67082
786	12527	67060
787	12543	67046
788	12559	67032
789	12575	67014
790	12593	67009
791	12610	66999
792	12625	66981
793	12643	66975
794	12660	66964
795	12676	66947
796	12692	66931
797	12707	66914
798	12724	66903
799	12741	66890
800	12757	66878
801	12776	66877
802	12795	66879
803	12811	66862
804	12829	66856
805	12844	66836
806	12861	66823
807	12876	66803
808	12891	66783
809	12905	66757
810	12920	66738
811	12935	66717
812	12949	66690
813	12965	66674
814	12981	66659
815	12997	66644
816	13013	66626
817	13028	66606
818	13042	66582
819	13056	66557
820	13071	66535
821	13086	66512
822	13100	66488
823	13114	66463
824	13128	66436
825	13142	66414
826	13156	66388
827	13170	66363
828	13185	66338
829	13199	66316
830	13214	66293
831	13228	66268
832	13242	66242
833	13256	66221
834	13271	66196
835	13285	66173
836	13300	66152
837	13315	66130
838	13330	66112
839	13345	66093
840	13359	66067
841	13373	66042
842	13387	66018
843	13402	65994
844	13417	65973
845	13431	65951
846	13445	65927
847	13460	65907
848	13475	65886
849	13490	65865
850	13509	65862
851	13524	65842
852	13539	65825
853	13557	65818
854	13575	65815
855	13592	65801
856	13607	65783
857	13623	65767
858	13637	65742
859	13653	65728
860	13668	65705
861	13684	65689
862	13699	65670
863	13713	65648
864	13729	65632
865	13749	65634
866	13766	65624
867	13783	65614
868	13798	65594
869	13814	65578
870	13828	65555
871	13844	65539
872	13859	65519
873	13875	65502
874	13890	65483
875	13904	65459
876	13919	65440
877	13934	65419
878	13949	65399
879	13965	65384
880	13979	65360
881	13994	65341
882	14011	65328
883	14029	65322
884	14046	65314
885	14060	65287
886	14075	65266
887	14090	65248
888	14104	65224
889	14119	65205
890	14135	65187
891	14150	65170
892	14166	65152
893	14180	65130
894	14194	65106
895	14210	65087
896	14224	65063
897	14239	65042
898	14253	65019
899	14268	64998
900	14282	64978
901	14297	64958
902	14311	64931
903	14326	64911
904	14340	64890
905	14355	64870
906	14371	64855
907	14389	64846
908	14403	64822
909	14417	64798
910	14431	64775
911	14445	64749
912	14459	64726
913	14472	64699
914	14489	64685
915	14504	64667
916	14519	64649
917	14534	64628
918	14551	64617
919	14567	64603
920	14585	64596
921	14599	64574
922	14614	64555
923	14630	64540
924	14646	64522
925	14664	64515
926	14686	64529
927	14704	64521
928	14720	64506
929	14739	64506
930	14759	64509
931	14780	64513
932	14801	64518
933	14819	64515
934	14837	64508
935	14857	64509
936	14873	64494
937	14890	64484
938	14909	64479
939	14925	64463
940	14940	64447
941	14959	64442
942	14977	64437
943	14993	64422
944	15010	64409
945	15028	64401
946	15045	64392
947	15063	64384
948	15081	64378
949	15097	64364
950	15111	64339
951	15127	64323
952	15141	64300
953	15156	64278
954	15170	64255
955	15184	64230
956	15198	64207
957	15213	64189
958	15230	64177
959	15247	64167
960	15263	64152
961	15279	64134
962	15295	64120
963	15310	64100
964	15328	64092
965	15346	64086
966	15364	64078
967	15382	64070
968	15400	64064
969	15418	64056
970	15434	64044
971	15454	64043
972	15476	64052
973	15495	64049
974	15513	64042
975	15531	64034
976	15550	64032
977	15570	64031
978	15587	64023
979	15603	64005
980	15620	63994
981	15636	63978
982	15651	63958
983	15666	63940
984	15681	63917
985	15697	63902
986	15713	63889
987	15736	63899
988	15753	63889
989	15773	63890
990	15795	63900
991	15824	63935
992	15861	64003
993	15876	63984
994	15892	63971
995	15911	63963
996	15925	63942
997	15941	63925
998	15956	63904
999	15970	63882
1000	15987	63871
1001	16002	63848
1002	16015	63822
1003	16030	63801
1004	16045	63784
1005	16060	63761
1006	16075	63744
1007	16093	63734
1008	16110	63723
1009	16127	63710
1010	16142	63690
1011	16158	63675
1012	16175	63662
1013	16190	63646
1014	16208	63635
1015	16224	63618
1016	16241	63607
1017	16258	63597
1018	16273	63574
1019	16288	63555
1020	16305	63543
1021	16333	63574
1022	16360	63603
1023	16381	63604
1024	16397	63589
1025	16412	63571
1026	16429	63557
1027	16444	63538
1028	16459	63516
1029	16474	63498
1030	16488	63476
1031	16502	63451
1032	16517	63431
1033	16532	63409
1034	16546	63389
1035	16562	63373
1036	16578	63354
1037	16593	63335
1038	16613	63334
1039	16631	63328
1040	16646	63306
1041	16660	63285
1042	16675	63263
1043	16692	63251
1044	16710	63243
1045	16729	63238
1046	16747	63229
1047	16767	63228
1048	16786	63225
1049	16801	63206
1050	16815	63183
1051	16832	63171
1052	16847	63150
1053	16863	63134
1054	16877	63111
1055	16892	63090
1056	16906	63067
1057	16921	63047
1058	16935	63023
1059	16950	63003
1060	16964	62980
1061	16979	62961
1062	16993	62937
1063	17008	62917
1064	17024	62900
1065	17038	62877
1066	17051	62850
1067	17067	62835
1068	17083	62819
1069	17096	62794
1070	17110	62770
1071	17126	62755
1072	17142	62740
1073	17156	62715
1074	17169	62687
1075	17184	62669
1076	17200	62654
1077	17214	62630
1078	17228	62608
1079	17242	62582
1080	17256	62560
1081	17269	62534
1082	17282	62508
1083	17297	62489
1084	17312	62470
1085	17328	62452
1086	17341	62427
1087	17355	62402
1088	17369	62378
1089	17382	62353
1090	17396	62329
1091	17409	62303
1092	17422	62279
1093	17436	62255
1094	17450	62231
1095	17463	62207
1096	17477	62183
1097	17491	62160
1098	17506	62139
1099	17520	62119
1100	17535	62097
1101	17549	62076
1102	17563	62053
1103	17579	62036
1104	17595	62021
1105	17611	62007
1106	17628	61992
1107	17644	61978
1108	17661	61965
1109	17676	61948
1110	17695	61940
1111	17710	61921
1112	17726	61908
1113	17744	61898
1114	17760	61882
1115	17777	61870
1116	17793	61854
1117	17808	61834
1118	17821	61810
1119	17839	61801
1120	17853	61779
1121	17867	61757
1122	17881	61733
1123	17896	61714
1124	17912	61698
1125	17927	61680
1126	17942	61660
1127	17957	61640
1128	17971	61619
1129	17986	61600
1130	18001	61581
1131	18017	61564
1132	18033	61548
1133	18052	61545
1134	18068	61526
1135	18084	61512
1136	18099	61494
1137	18115	61477
1138	18129	61454
1139	18143	61434
1140	18157	61410
1141	18170	61385
1142	18184	61363
1143	18199	61343
1144	18214	61326
1145	18229	61305
1146	18245	61290
1147	18261	61275
1148	18275	61253
1149	18290	61234
1150	18306	61219
1151	18322	61201
1152	18335	61177
1153	18351	61159
1154	18367	61144
1155	18382	61128
1156	18397	61106
1157	18411	61085
1158	18427	61068
1159	18440	61043
